Algorytm,Rozmiar_N,Uklad_Danych,Sredni_Czas_s,Srednie_Porownania,Srednie_Zamiany
MergeSort,3000,a_shaped,0.005349,18954,0
MergeSort,3000,v_shaped,0.005009,18952,0
QuickSortIter,3000,random,0.008826,38532,21946
QuickSortIter,3000,ascending,0.004375,34756,17845
QuickSortIter,3000,descending,0.005397,58842,35220
QuickSortIter,3000,a_shaped,0.022902,283978,135154
QuickSortIter,3000,v_shaped,0.173755,1472935,755791
QuickSortRec,3000,random,0.006939,38705,23297
QuickSortRec,3000,ascending,0.006874,39218,24443
QuickSortRec,3000,descending,0.005508,39496,23510
QuickSortRec,3000,a_shaped,0.006918,40265,25033
QuickSortRec,3000,v_shaped,0.009985,40171,24628
ShellSort,3000,random,0.028041,169497,27347
ShellSort,3000,ascending,0.005197,31894,0
ShellSort,3000,descending,0.008708,60243,8379
ShellSort,3000,a_shaped,0.009998,63777,8959
ShellSort,3000,v_shaped,0.009638,63777,8975
BubbleSort,4000,random,0.893345,7994141,3990111
BubbleSort,4000,ascending,0.000256,3999,0
BubbleSort,4000,descending,1.127752,7998000,7997804
BubbleSort,4000,a_shaped,0.870619,7998000,3999902
BubbleSort,4000,v_shaped,0.744461,5999000,3997899
HeapSort,4000,random,0.011530,83426,44316
HeapSort,4000,ascending,0.017371,86588,47030
HeapSort,4000,descending,0.009602,80141,41412
HeapSort,4000,a_shaped,0.010549,85127,44964
HeapSort,4000,v_shaped,0.013677,78793,41191
MergeSort,4000,random,0.009055,42826,0
MergeSort,4000,ascending,0.006342,24176,0
MergeSort,4000,descending,0.007362,23826,0
MergeSort,4000,a_shaped,0.006382,25952,0
MergeSort,4000,v_shaped,0.013438,25953,0
QuickSortIter,4000,random,0.006025,54093,30844
QuickSortIter,4000,ascending,0.007644,46361,24046
QuickSortIter,4000,descending,0.008166,82061,48866
QuickSortIter,4000,a_shaped,0.080254,616125,301702
QuickSortIter,4000,v_shaped,0.380526,2613947,1340801
QuickSortRec,4000,random,0.008600,54341,33752
QuickSortRec,4000,ascending,0.007427,55961,34088
QuickSortRec,4000,descending,0.008286,55008,33340
QuickSortRec,4000,a_shaped,0.013140,55789,33406
QuickSortRec,4000,v_shaped,0.007425,53794,32116
ShellSort,4000,random,0.057651,245715,38811
ShellSort,4000,ascending,0.008270,43894,0
ShellSort,4000,descending,0.022331,83705,13635
ShellSort,4000,a_shaped,0.015978,87775,12216
ShellSort,4000,v_shaped,0.025155,87775,12211
BubbleSort,5000,random,1.460508,12490133,6259626
BubbleSort,5000,ascending,0.000319,4999,0
BubbleSort,5000,descending,2.325121,12497500,12497259
BubbleSort,5000,a_shaped,1.423447,12497500,6249876
BubbleSort,5000,v_shaped,1.234098,9373750,6247382
HeapSort,5000,random,0.014605,107669,57099
HeapSort,5000,ascending,0.026096,112129,60735
HeapSort,5000,descending,0.019026,103237,53426
HeapSort,5000,a_shaped,0.022555,109162,57511
HeapSort,5000,v_shaped,0.027472,102527,53603
MergeSort,5000,random,0.018144,55234,0
MergeSort,5000,ascending,0.012124,32004,0
MergeSort,5000,descending,0.018771,29947,0
MergeSort,5000,a_shaped,0.010628,33405,0
MergeSort,5000,v_shaped,0.013588,33405,0
